Session Code,Sport,Venue,Zone,Date,Games Day,Session Type,Event,Start Time,End Time,Is in LA Area,Is Women's Event 🎉
ARC15,Archery,Carson Stadium,Carson,"Thursday, July 27",13,Final,Recurve Men's Individual Bronze Medal Match,20:30,22:50,TRUE,FALSE
ARC15,Archery,Carson Stadium,Carson,"Thursday, July 27",13,Final,Recurve Men's Individual Gold Medal Match,20:30,22:50,TRUE,FALSE
ARC16,Archery,Carson Stadium,Carson,"Friday, July 28",14,Preliminary,Recurve Women's Individual 1/8 Elimination Round,9:30,11:15,TRUE,TRUE
ARC17,Archery,Carson Stadium,Carson,"Friday, July 28",14,Final,Recurve Women's Individual Quarterfinal,20:30,22:50,TRUE,TRUE
ARC17,Archery,Carson Stadium,Carson,"Friday, July 28",14,Final,Recurve Women's Individual Semifinal,20:30,22:50,TRUE,TRUE
ARC17,Archery,Carson Stadium,Carson,"Friday, July 28",14,Final,Recurve Women's Individual Bronze Medal Match,20:30,22:50,TRUE,TRUE
ARC17,Archery,Carson Stadium,Carson,"Friday, July 28",14,Final,Recurve Women's Individual Gold Medal Match,20:30,22:50,TRUE,TRUE
GAR01,Artistic Gymnastics,DTLA Arena,DTLA,"Saturday, July 15",1,Preliminary,Men's Qualification 1,11:30,14:00,TRUE,FALSE
GAR02,Artistic Gymnastics,DTLA Arena,DTLA,"Saturday, July 15",1,Preliminary,Men's Qualification 2,15:30,18:00,TRUE,FALSE
GAR03,Artistic Gymnastics,DTLA Arena,DTLA,"Saturday, July 15",1,Preliminary,Men's Qualification 3,19:30,22:00,TRUE,FALSE
GAR04,Artistic Gymnastics,DTLA Arena,DTLA,"Sunday, July 16",2,Preliminary,Women's Qualification 1 and 2,9:45,13:35,TRUE,TRUE
GAR05,Artistic Gymnastics,DTLA Arena,DTLA,"Sunday, July 16",2,Preliminary,Women's Qualification 3,15:05,16:45,TRUE,TRUE
GAR06,Artistic Gymnastics,DTLA Arena,DTLA,"Sunday, July 16",2,Preliminary,Women's Qualification 4,18:15,19:55,TRUE,TRUE
GAR07,Artistic Gymnastics,DTLA Arena,DTLA,"Sunday, July 16",2,Preliminary,Women's Qualification 5,21:25,23:05,TRUE,TRUE
GAR08,Artistic Gymnastics,DTLA Arena,DTLA,"Monday, July 17",3,Final,Men's Team Final,17:15,20:30,TRUE,FALSE
GAR09,Artistic Gymnastics,DTLA Arena,DTLA,"Tuesday, July 18",4,Final,Women's Team Final,18:00,20:30,TRUE,TRUE
GAR10,Artistic Gymnastics,DTLA Arena,DTLA,"Wednesday, July 19",5,Final,Men's All-Around Final,18:00,20:30,TRUE,FALSE
GAR11,Artistic Gymnastics,DTLA Arena,DTLA,"Thursday, July 20",6,Final,Women's All-Around Final,18:00,20:30,TRUE,TRUE
GAR12,Artistic Gymnastics,DTLA Arena,DTLA,"Saturday, July 22",8,Final,Men's/Women's Apparatus Finals,11:30,14:15,TRUE,TRUE
GAR13,Artistic Gymnastics,DTLA Arena,DTLA,"Sunday, July 23",9,Final,Men's/Women's Apparatus Finals,11:00,13:45,TRUE,TRUE
GAR14,Artistic Gymnastics,DTLA Arena,DTLA,"Monday, July 24",10,Final,Men's/Women's Apparatus Finals,11:00,14:30,TRUE,TRUE
GAR15,Artistic Gymnastics,DTLA Arena,DTLA,"Tuesday, July 25",11,Final,Mixed Team Final,16:00,18:30,TRUE,FALSE
GAR15,Artistic Gymnastics,DTLA Arena,DTLA,"Tuesday, July 25",11,Final,(Format and Duration Pending FIG Executive Committee Approval),16:00,18:30,TRUE,FALSE
SWA01,Artistic Swimming,Long Beach Aquatics Center,Long Beach,"Tuesday, July 25",11,Preliminary,Women's Duet Technical,11:00,13:00,TRUE,TRUE
SWA02,Artistic Swimming,Long Beach Aquatics Center,Long Beach,"Wednesday, July 26",12,Final,Women's Duet Free,11:00,13:15,TRUE,TRUE
SWA03,Artistic Swimming,Long Beach Aquatics Center,Long Beach,"Thursday, July 27",13,Preliminary,Open Team Technical,11:00,12:30,TRUE,FALSE
SWA04,Artistic Swimming,Long Beach Aquatics Center,Long Beach,"Friday, July 28",14,Preliminary,Open Team Free,11:00,12:30,TRUE,FALSE
SWA05,Artistic Swimming,Long Beach Aquatics Center,Long Beach,"Saturday, July 29",15,Final,Open Team Acrobatic,10:45,12:30,TRUE,FALSE
ATH01,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Saturday, July 15",1,Preliminary,Women's 100m Preliminary,9:00,13:30,TRUE,TRUE
ATH01,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Saturday, July 15",1,Preliminary,Men's 100m Preliminary,9:00,13:30,TRUE,FALSE
ATH01,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Saturday, July 15",1,Preliminary,Women's Shot Put Qualification A and B,9:00,13:30,TRUE,TRUE
ATH01,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Saturday, July 15",1,Preliminary,Women's 5000m Round 1,9:00,13:30,TRUE,TRUE
ATH01,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Saturday, July 15",1,Preliminary,Men's Pole Vault Qualification A and B,9:00,13:30,TRUE,FALSE
ATH01,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Saturday, July 15",1,Preliminary,Women's 800m Round 1,9:00,13:30,TRUE,TRUE
ATH01,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Saturday, July 15",1,Preliminary,Women's Hammer Throw Qualification A and B,9:00,13:30,TRUE,TRUE
ATH01,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Saturday, July 15",1,Preliminary,Women's 100m Round 1,9:00,13:30,TRUE,TRUE
ATH01,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Saturday, July 15",1,Preliminary,Men's 100m Round 1,9:00,13:30,TRUE,FALSE
ATH02,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Saturday, July 15",1,Final,Men's 400m Hurdles Round 1,17:00,20:15,TRUE,FALSE
ATH02,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Saturday, July 15",1,Final,Men's High Jump Qualification A and B,17:00,20:15,TRUE,FALSE
ATH02,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Saturday, July 15",1,Final,Men's Discus Throw Qualification A and B,17:00,20:15,TRUE,FALSE
